Date,Team,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff,WinDiff,Team1RatingDiff,Team2RatingDiff
2012-01-01,Seahawks,Cardinals,5,15:00,,0,CRD 35,20-20,Jay Feely kicks off 72 yards returned by Leon Washington for 47 yards (tackle by Sam Acho),47,0.000,1.600,1.60,-1.0,0.0,3.0
2011-12-18,Browns,Cardinals,5,,,0,CRD 35,17-17,Jay Feely kicks off 65 yards touchback,,0.000,0.280,.28,-4.0,-6.7,3.5
2011-12-11,Bears,Broncos,5,,,0,DEN 35,10-10,Matt Prater kicks off 65 yards touchback,,0.000,0.280,.28,0.0,0.19999999999999996,6.7
2011-11-20,Redskins,Cowboys,5,,,0,DAL 35,24-24,Dan Bailey kicks off 70 yards returned by Brandon Banks for 23 yards (tackle by John Phillips),23,0.000,0.040,.04,-3.0,-5.2,-0.49999999999999994
2011-11-13,Falcons,Saints,5,,,0,NOR 35,23-23,Thomas Morstead kicks off 70 yards returned by Eric Weems for 25 yards (tackle by Will Herring),25,0.000,0.280,.28,-3.0,1.0,-8.9
2011-11-06,Rams,Cardinals,5,,,0,CRD 35,13-13,Jay Feely kicks off 63 yards returned by Quinn Porter for 25 yards (tackle by Sean Considine),25,0.000,0.740,.74,-6.0,-7.9,-0.40000000000000013
2011-10-31,Chargers,Chiefs,5,,,0,KAN 35,20-20,Ryan Succop kicks off 65 yards touchback,,0.000,0.280,.28,1.0,0.6000000000000001,8.399999999999999
2011-10-23,Dolphins,Broncos,5,,,0,DEN 35,15-15,Matt Prater kicks off 72 yards touchback,,0.000,0.280,.28,-2.0,-0.5000000000000002,6.800000000000001
2011-09-18,49ers,Cowboys,5,,,0,DAL 35,24-24,David Buehler kicks off 65 yards touchback,,0.000,0.280,.28,5.0,0.7999999999999999,5.8999999999999995
2010-12-26,Jaguars,Redskins,5,,,0,WAS 30,17-17,Graham Gano kicks off 66 yards returned by Deji Karim for 7 yards (tackle by Anthony Armstrong),7,0.000,-0.370,-0.37,2.0,-0.7,0.10000000000000009
2010-12-05,Colts,Cowboys,5,,,0,DAL 30,35-35,David Buehler kicks off 73 yards touchback,,0.000,0.280,.28,4.0,8.4,-3.4
2010-11-28,Bills,Steelers,5,,,0,PIT 30,16-16,Shaun Suisham kicks off 67 yards returned by Leodis McKelvin for 49 yards (tackle by Shaun Suisham),49,0.000,2.390,2.39,-8.0,-9.2,-5.6
2010-11-21,Titans,Redskins,5,15:00,,0,WAS 30,16-16,Graham Gano kicks off 67 yards returned by Marc Mariani for 30 yards (tackle by Darrel Young),30,0.000,1.140,1.14,0.0,-0.4,5.3
2010-11-14,Rams,49ers,5,,,0,SFO 30,20-20,Joe Nedney kicks off 65 yards returned by Danny Amendola for 25 yards (tackle by Delanie Walker),25,0.000,0.940,.94,1.0,-5.199999999999999,4.3
2010-11-07,Cardinals,Vikings,5,,,0,MIN 30,24-24,Ryan Longwell kicks off 68 yards returned by LaRod Stephens-Howling for 25 yards (tackle by Heath Farwell),25,0.000,0.740,.74,-1.0,-7.3,-3.8
2010-11-07,Chiefs,Raiders,5,15:00,,0,RAI 30,20-20,Sebastian Janikowski kicks off 67 yards returned by Javier Arenas for 7 yards (tackle by Stevie Brown),7,0.000,-0.380,-0.38,2.0,0.7000000000000002,-1.4999999999999998
2010-10-31,Bills,Chiefs,5,,,0,KAN 30,10-10,Ryan Succop kicks off 63 yards returned by C.J. Spiller for 22 yards (tackle by Andy Studebaker),22,0.000,0.870,.87,-6.0,-2.3,-1.6
2010-10-17,Ravens,Patriots,5,,,0,NWE 30,20-20,Stephen Gostkowski kicks off 78 yards touchback,,0.000,0.280,.28,-2.0,-1.9,-7.1
2010-10-10,Packers,Redskins,5,,,0,WAS 30,13-13,Graham Gano kicks off 70 yards returned by Patrick Lee for 26 yards (tackle by Chad Simpson),26,0.000,0.670,.67,4.0,3.6,11.3
