Rk,Tm,Year,Date,Time,LTime,At.Symbol,Opp,Week,Game,Day,Result,OT,WinDiff,CombinedRating,OTToss
1,ARI,2011,2012-01-01,4:15,2:15,,SEA,17,16,Sun,W 23-20,OT,1.0,-3.0,SEA
2,SEA,2011,2012-01-01,4:15,2:15,@,ARI,17,16,Sun,L 20-23,OT,-1.0,3.0,SEA
3,KAN,2011,2011-12-24,1:03,12:03,,OAK,16,15,Sat,L 13-16,OT,-1.0,-3.1999999999999993,OAK
4,OAK,2011,2011-12-24,1:03,12:03,@,KAN,16,15,Sat,W 16-13,OT,1.0,3.1999999999999993,OAK
5,CLE,2011,2011-12-18,4:15,2:15,@,ARI,15,14,Sun,L 17-20,OT,-4.0,-3.2,CLE
6,ARI,2011,2011-12-18,4:15,2:15,,CLE,15,14,Sun,W 20-17,OT,4.0,3.2,CLE
7,CHI,2011,2011-12-11,4:05,2:05,@,DEN,14,13,Sun,L 10-13,OT,0.0,6.9,CHI
8,DEN,2011,2011-12-11,4:05,2:05,,CHI,14,13,Sun,W 13-10,OT,0.0,-6.9,CHI
9,ARI,2011,2011-12-04,4:15,2:15,,DAL,13,12,Sun,W 19-13,OT,0.0,-3.8,ARI
10,DAL,2011,2011-12-04,4:15,2:15,@,ARI,13,12,Sun,L 13-19,OT,0.0,3.8,ARI
11,DEN,2011,2011-11-27,4:15,1:15,@,SDG,12,11,Sun,W 16-13,OT,0.0,-6.2,DEN
12,SDG,2011,2011-11-27,4:15,1:15,,DEN,12,11,Sun,L 13-16,OT,0.0,6.2,DEN
13,DAL,2011,2011-11-20,1:03,1:03,@,WAS,11,10,Sun,W 27-24,OT,3.0,5.7,WAS
14,WAS,2011,2011-11-20,1:03,1:03,,DAL,11,10,Sun,L 24-27,OT,-3.0,-5.7,WAS
15,ATL,2011,2011-11-13,1:03,1:03,,NOR,10,9,Sun,L 23-26,OT,-3.0,-7.9,ATL
16,NOR,2011,2011-11-13,1:03,1:03,@,ATL,10,10,Sun,W 26-23,OT,3.0,7.9,ATL
17,ARI,2011,2011-11-06,4:15,2:15,,STL,9,8,Sun,W 19-13,OT,6.0,8.3,STL
18,STL,2011,2011-11-06,4:15,2:15,@,ARI,9,8,Sun,L 13-19,OT,-6.0,-8.3,STL
19,KAN,2011,2011-10-31,8:40,7:40,,SDG,8,7,Mon,W 23-20,OT,-1.0,-8.999999999999998,SDG
20,SDG,2011,2011-10-31,8:40,7:40,@,KAN,8,7,Mon,L 20-23,OT,1.0,8.999999999999998,SDG
21,DEN,2011,2011-10-23,1:02,1:02,@,MIA,7,6,Sun,W 18-15,OT,2.0,-6.300000000000001,MIA
22,MIA,2011,2011-10-23,1:02,1:02,,DEN,7,6,Sun,L 15-18,OT,-2.0,6.300000000000001,MIA
23,DET,2011,2011-09-25,1:05,12:05,@,MIN,3,3,Sun,W 26-23,OT,7.0,11.8,DET
24,MIN,2011,2011-09-25,1:05,12:05,,DET,3,3,Sun,L 23-26,OT,-7.0,-11.8,DET
25,DAL,2011,2011-09-18,4:05,1:05,@,SFO,2,2,Sun,W 27-24,OT,-5.0,-6.699999999999999,SFO
26,SFO,2011,2011-09-18,4:05,1:05,,DAL,2,2,Sun,L 24-27,OT,5.0,6.699999999999999,SFO
27,JAX,2010,2010-12-26,1:03,1:03,,WAS,16,15,Sun,L 17-20,OT,2.0,-0.5999999999999999,JAX
28,WAS,2010,2010-12-26,1:03,1:03,@,JAX,16,15,Sun,W 20-17,OT,-2.0,0.5999999999999999,JAX
29,DET,2010,2010-12-19,1:03,1:03,@,TAM,15,14,Sun,W 23-20,OT,-4.0,2.5,DET
30,TAM,2010,2010-12-19,1:03,1:03,,DET,15,14,Sun,L 20-23,OT,4.0,-2.5,DET
31,HOU,2010,2010-12-13,8:40,7:40,,BAL,14,13,Mon,L 28-34,OT,-6.0,-8.3,BAL
32,BAL,2010,2010-12-13,8:40,7:40,@,HOU,14,13,Mon,W 34-28,OT,6.0,8.3,BAL
