Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT
1,ARI,2011,2012-01-01,4:15,2:15,,SEA,17,16,Sun,W 23-20,OT
2,SEA,2011,2012-01-01,4:15,2:15,@,ARI,17,16,Sun,L 20-23,OT
3,KAN,2011,2011-12-24,1:03,12:03,,OAK,16,15,Sat,L 13-16,OT
4,OAK,2011,2011-12-24,1:03,12:03,@,KAN,16,15,Sat,W 16-13,OT
5,CLE,2011,2011-12-18,4:15,2:15,@,ARI,15,14,Sun,L 17-20,OT
6,ARI,2011,2011-12-18,4:15,2:15,,CLE,15,14,Sun,W 20-17,OT
7,CHI,2011,2011-12-11,4:05,2:05,@,DEN,14,13,Sun,L 10-13,OT
8,DEN,2011,2011-12-11,4:05,2:05,,CHI,14,13,Sun,W 13-10,OT
9,ARI,2011,2011-12-04,4:15,2:15,,DAL,13,12,Sun,W 19-13,OT
10,DAL,2011,2011-12-04,4:15,2:15,@,ARI,13,12,Sun,L 13-19,OT
11,DEN,2011,2011-11-27,4:15,1:15,@,SDG,12,11,Sun,W 16-13,OT
12,SDG,2011,2011-11-27,4:15,1:15,,DEN,12,11,Sun,L 13-16,OT
13,DAL,2011,2011-11-20,1:03,1:03,@,WAS,11,10,Sun,W 27-24,OT
14,WAS,2011,2011-11-20,1:03,1:03,,DAL,11,10,Sun,L 24-27,OT
15,ATL,2011,2011-11-13,1:03,1:03,,NOR,10,9,Sun,L 23-26,OT
16,NOR,2011,2011-11-13,1:03,1:03,@,ATL,10,10,Sun,W 26-23,OT
17,ARI,2011,2011-11-06,4:15,2:15,,STL,9,8,Sun,W 19-13,OT
18,STL,2011,2011-11-06,4:15,2:15,@,ARI,9,8,Sun,L 13-19,OT
19,KAN,2011,2011-10-31,8:40,7:40,,SDG,8,7,Mon,W 23-20,OT
20,SDG,2011,2011-10-31,8:40,7:40,@,KAN,8,7,Mon,L 20-23,OT
21,DEN,2011,2011-10-23,1:02,1:02,@,MIA,7,6,Sun,W 18-15,OT
22,MIA,2011,2011-10-23,1:02,1:02,,DEN,7,6,Sun,L 15-18,OT
23,DET,2011,2011-09-25,1:05,12:05,@,MIN,3,3,Sun,W 26-23,OT
24,MIN,2011,2011-09-25,1:05,12:05,,DET,3,3,Sun,L 23-26,OT
25,DAL,2011,2011-09-18,4:05,1:05,@,SFO,2,2,Sun,W 27-24,OT
26,SFO,2011,2011-09-18,4:05,1:05,,DAL,2,2,Sun,L 24-27,OT
27,JAX,2010,2010-12-26,1:03,1:03,,WAS,16,15,Sun,L 17-20,OT
28,WAS,2010,2010-12-26,1:03,1:03,@,JAX,16,15,Sun,W 20-17,OT
29,DET,2010,2010-12-19,1:03,1:03,@,TAM,15,14,Sun,W 23-20,OT
30,TAM,2010,2010-12-19,1:03,1:03,,DET,15,14,Sun,L 20-23,OT
31,HOU,2010,2010-12-13,8:40,7:40,,BAL,14,13,Mon,L 28-34,OT
32,BAL,2010,2010-12-13,8:40,7:40,@,HOU,14,13,Mon,W 34-28,OT
33,IND,2010,2010-12-05,4:15,4:15,,DAL,13,12,Sun,L 35-38,OT
34,DAL,2010,2010-12-05,4:15,4:15,@,IND,13,12,Sun,W 38-35,OT
35,BUF,2010,2010-11-28,1:02,1:02,,PIT,12,11,Sun,L 16-19,OT
36,PIT,2010,2010-11-28,1:02,1:02,@,BUF,12,11,Sun,W 19-16,OT
37,TEN,2010,2010-11-21,1:03,12:03,,WAS,11,10,Sun,L 16-19,OT
38,WAS,2010,2010-11-21,1:03,12:03,@,TEN,11,10,Sun,W 19-16,OT
39,CLE,2010,2010-11-14,1:02,1:02,,NYJ,10,9,Sun,L 20-26,OT
40,NYJ,2010,2010-11-14,1:02,1:02,@,CLE,10,9,Sun,W 26-20,OT
41,STL,2010,2010-11-14,4:15,1:15,@,SFO,10,9,Sun,L 20-23,OT
42,SFO,2010,2010-11-14,4:15,1:15,,STL,10,9,Sun,W 23-20,OT
43,ARI,2010,2010-11-07,1:05,12:05,@,MIN,9,8,Sun,L 24-27,OT
44,DET,2010,2010-11-07,1:03,1:03,,NYJ,9,8,Sun,L 20-23,OT
45,KAN,2010,2010-11-07,4:15,1:15,@,OAK,9,8,Sun,L 20-23,OT
46,MIN,2010,2010-11-07,1:05,12:05,,ARI,9,8,Sun,W 27-24,OT
47,NYJ,2010,2010-11-07,1:03,1:03,@,DET,9,8,Sun,W 23-20,OT
48,OAK,2010,2010-11-07,4:15,1:15,,KAN,9,9,Sun,W 23-20,OT
49,BUF,2010,2010-10-31,1:08,12:08,@,KAN,8,7,Sun,L 10-13,OT
50,KAN,2010,2010-10-31,1:08,12:08,,BUF,8,7,Sun,W 13-10,OT
51,BUF,2010,2010-10-24,1:02,1:02,@,BAL,7,6,Sun,L 34-37,OT
52,BAL,2010,2010-10-24,1:02,1:02,,BUF,7,7,Sun,W 37-34,OT
53,GNB,2010,2010-10-17,1:02,12:02,,MIA,6,6,Sun,L 20-23,OT
54,MIA,2010,2010-10-17,1:02,12:02,@,GNB,6,5,Sun,W 23-20,OT
55,NWE,2010,2010-10-17,1:02,1:02,,BAL,6,5,Sun,W 23-20,OT
56,BAL,2010,2010-10-17,1:02,1:02,@,NWE,6,6,Sun,L 20-23,OT
57,GNB,2010,2010-10-10,1:02,1:02,@,WAS,5,5,Sun,L 13-16,OT
58,WAS,2010,2010-10-10,1:02,1:02,,GNB,5,5,Sun,W 16-13,OT
59,ATL,2010,2010-09-26,1:03,12:03,@,NOR,3,3,Sun,W 27-24,OT
60,NOR,2010,2010-09-26,1:03,12:03,,ATL,3,3,Sun,L 24-27,OT
61,HOU,2010,2010-09-19,4:15,4:15,@,WAS,2,2,Sun,W 30-27,OT
62,WAS,2010,2010-09-19,4:15,4:15,,HOU,2,2,Sun,L 27-30,OT
63,ATL,2010,2010-09-12,1:02,1:02,@,PIT,1,1,Sun,L 9-15,OT
64,PIT,2010,2010-09-12,1:02,1:02,,ATL,1,1,Sun,W 15-9,OT
65,CHI,2009,2009-12-28,8:40,7:40,,MIN,16,15,Mon,W 36-30,OT
