Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,WinDiff,CombinedRating,OTToss
1,CLE,2016,2017-01-01,1:00,1:00,@,PIT,17,16,Sun,L 24-27,OT,-10.0,-14.9,Browns
2,PIT,2016,2017-01-01,1:00,1:00,,CLE,17,16,Sun,W 27-24,OT,10.0,14.9,Browns
3,BUF,2016,2016-12-24,1:00,1:00,,MIA,16,15,Sat,L 31-34,OT,-3.0,2.0,Bills
4,MIA,2016,2016-12-24,1:00,1:00,@,BUF,16,15,Sat,W 34-31,OT,3.0,-2.0,Bills
5,NYJ,2016,2016-12-11,4:05,1:05,@,SFO,14,13,Sun,W 23-17,OT,3.0,2.7,49ers
6,SFO,2016,2016-12-11,4:05,1:05,,NYJ,14,13,Sun,L 17-23,OT,-3.0,-2.7,49ers
7,DEN,2016,2016-11-27,8:30,6:30,,KAN,12,11,Sun,L 27-30,OT,-3.0,-1.5000000000000009,Broncos
8,KAN,2016,2016-11-27,8:30,6:30,@,DEN,12,11,Sun,W 30-27,OT,3.0,1.5000000000000009,Broncos
9,DET,2016,2016-11-06,1:00,3:00,@,MIN,9,9,Sun,W 22-16,OT,1.0,-2.4000000000000004,Lions
10,MIN,2016,2016-11-06,1:00,3:00,,DET,9,8,Sun,L 16-22,OT,-1.0,2.4000000000000004,Lions
11,CIN,2016,2016-10-30,8:36,1:36,,WAS,8,8,Sun,T 27-27,OT,-2.0,-0.9999999999999998,Redskins
12,DAL,2016,2016-10-30,8:31,7:31,,PHI,8,7,Sun,W 29-23,OT,6.0,3.1999999999999993,Cowboys
13,PHI,2016,2016-10-30,8:31,7:31,@,DAL,8,7,Sun,L 23-29,OT,-6.0,-3.1999999999999993,Cowboys
14,OAK,2016,2016-10-30,1:02,1:02,@,TAM,8,8,Sun,W 30-24,OT,3.0,3.4000000000000004,Raiders
15,TAM,2016,2016-10-30,1:02,1:02,,OAK,8,7,Sun,L 24-30,OT,-3.0,-3.4000000000000004,Raiders
16,WAS,2016,2016-10-30,8:36,1:36,@,CIN,8,8,Sun,T 27-27,OT,2.0,0.9999999999999998,Redskins
17,ATL,2016,2016-10-23,4:05,4:05,,SDG,7,7,Sun,L 30-33,OT,6.0,8.5,Falcons
18,ARI,2016,2016-10-23,8:30,5:30,,SEA,7,7,Sun,T 6-6,OT,-3.0,-0.5000000000000002,Cardinals
