Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-01-01,Steelers,Browns,5,15:00,,0,PIT 35,21-21,Chris Boswell kicks off 70 yards returned by Mario Alford for 24 yards (tackle by Tyler Matakevich),,0.000,-0.150,-0.15
2017-01-01,Browns,Steelers,5,7:17,,0,CLE 35,21-24,Cody Parkey kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-12-24,Dolphins,Bills,5,15:00,,0,MIA 35,31-31,Andrew Franks kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-12-11,Jets,49ers,5,15:00,,0,NYJ 35,17-17,Nick Folk kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-11-27,Chiefs,Broncos,5,15:00,,0,KAN 35,24-24,Cairo Santos kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-11-27,Broncos,Chiefs,5,8:51,,0,DEN 35,27-24,Brandon McManus kicks off 71 yards returned by De'Anthony Thomas for 41 yards (tackle by Brandon McManus),,0.000,-1.270,-1.27
2016-11-27,Chiefs,Broncos,5,4:19,,0,KAN 35,27-27,Cairo Santos kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-11-06,Vikings,Lions,5,15:00,,0,MIN 35,16-16,Blair Walsh kicks off 62 yards returned by Andre Roberts for 10 yards (tackle by Jayron Kearse),,0.000,0.320,.32
2016-10-30,Raiders,Buccaneers,5,15:00,,0,TAM 35,24-24,Roberto Aguayo kicks off 65 yards touchback,,0.000,0.610,.61
2016-10-30,Redskins,Bengals,5,15:00,,0,CIN 35,27-27,Mike Nugent kicks off 65 yards touchback,,0.000,0.610,.61
2016-10-30,Cowboys,Eagles,5,15:00,,0,PHI 35,23-23,Caleb Sturgis kicks off 65 yards touchback,,0.000,0.610,.61
2016-10-23,Seahawks,Cardinals,5,15:00,,0,SEA 35,3-3,Steven Hauschka kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-10-23,Cardinals,Seahawks,5,11:28,,0,CRD 35,6-3,Chandler Catanzaro kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-10-23,Falcons,Chargers,5,15:00,,0,SDG 35,30-30,Josh Lambo kicks off 65 yards touchback,,0.000,0.610,.61
2016-10-23,Seahawks,Cardinals,5,6:46,,0,SEA 35,6-6,Steven Hauschka kicks off 65 yards touchback,,0.000,-0.610,-0.61
2016-10-16,Texans,Colts,5,15:00,,0,HTX 35,23-23,Nick Novak kicks off 62 yards returned by Josh Ferguson for 23 yards (tackle by Jay Prosch),,0.000,-0.670,-0.67
2016-09-25,Browns,Dolphins,5,15:00,,0,CLE 35,24-24,Cody Parkey kicks off 70 yards returned by Jakeem Grant for 27 yards (tackle by George Atkinson),,0.000,-0.410,-0.41
2016-09-11,Chargers,Chiefs,5,15:00,,0,SDG 35,27-27,Josh Lambo kicks off 65 yards touchback. Penalty on Dwight Lowery: Offside on Free Kick 5 yards,,0.000,-0.940,-0.94
2016-01-03,49ers,Rams,5,15:00,,0,RAM 35,16-16,Greg Zuerlein kicks off 65 yards touchback,,0.000,0.280,.28
2015-12-28,Broncos,Bengals,5,15:00,,0,CIN 35,17-17,Mike Nugent kicks off 65 yards touchback,,0.000,0.280,.28
2015-12-28,Broncos,Bengals,5,10:05,,0,DEN 35,20-17,Brandon McManus kicks off 61 yards returned by Brandon Tate for 29 yards (tackle by Corey Nelson),29,0.000,-1.140,-1.14
2015-12-27,Patriots,Jets,5,15:00,,0,NWE 35,20-20,Stephen Gostkowski kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-12-24,Raiders,Chargers,5,15:00,,0,SDG 35,20-20,Josh Lambo kicks off 65 yards touchback,,0.000,0.280,.28
2015-12-24,Raiders,Chargers,5,8:09,,0,RAI 35,23-20,Sebastian Janikowski kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-12-06,Giants,Jets,5,15:00,,0,NYG 35,20-20,Josh Brown kicks off 59 yards returned by Antonio Cromartie for 20 yards (tackle by Craig Dahl),20,0.000,-0.670,-0.67
2015-12-06,Bears,49ers,5,15:00,,0,CHI 35,20-20,Robbie Gould kicks off 65 yards returned by Bruce Ellington for 40 yards (tackle by Harold Jones-Quartey),40,0.000,-1.600,-1.60
2015-12-06,Jets,Giants,5,8:50,,0,NYJ 35,20-23,Randy Bullock kicks off 66 yards returned by Dwayne Harris for 43 yards (tackle by Rontez Miles),43,0.000,-1.730,-1.73
2015-11-29,Patriots,Broncos,5,15:00,,0,DEN 35,24-24,Brandon McManus kicks off 65 yards touchback,,0.000,0.280,.28
2015-11-08,Saints,Titans,5,15:00,,0,NOR 35,28-28,Kai Forbath kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-11-08,Vikings,Rams,5,15:00,,0,MIN 35,18-18,Blair Walsh kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-11-08,Eagles,Cowboys,5,15:00,,0,DAL 35,27-27,Dan Bailey kicks off 74 yards touchback,,0.000,0.280,.28
2015-11-02,Colts,Panthers,5,15:00,,0,CAR 35,23-23,Graham Gano kicks off 65 yards returned by Quan Bray for 45 yards (tackle by Joe Webb),45,0.000,1.930,1.93
2015-11-02,Colts,Panthers,5,12:09,,0,CLT 35,23-26,Pat McAfee kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-11-02,Panthers,Colts,5,7:55,,0,CAR 35,26-26,Graham Gano kicks off 70 yards returned by Quan Bray for 34 yards (tackle by A.J. Klein),34,0.000,-0.870,-0.87
2015-11-01,Buccaneers,Falcons,5,15:00,,0,ATL 35,20-20,Matthew Bosher kicks off 65 yards touchback,,0.000,0.280,.28
2015-11-01,Buccaneers,Falcons,5,7:57,,0,TAM 35,20-23,Connor Barth kicks off 72 yards returned by Eric Weems for 27 yards (tackle by Bruce Carter),27,0.000,-0.280,-0.28
2015-10-18,Bears,Lions,5,15:00,,0,CHI 35,34-34,Robbie Gould kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-10-18,Browns,Broncos,5,15:00,,0,CLE 35,23-23,Travis Coons kicks off 49 yards returned by Kapri Bibbs for 15 yards (tackle by Malcolm Johnson),15,0.000,-1.000,-1.00
2015-10-11,Bengals,Seahawks,5,15:00,,0,CIN 35,24-24,Mike Nugent kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-10-11,Redskins,Falcons,5,15:00,,0,ATL 35,19-19,Matthew Bosher kicks off 65 yards touchback,,0.000,0.280,.28
2015-10-11,Browns,Ravens,5,15:00,,0,CLE 35,30-30,Travis Coons kicks off 70 yards returned by Jeremy Ross for 20 yards (tackle by Rob Housler),20,0.000,0.220,.22
2015-10-04,Cowboys,Saints,5,15:00,,0,DAL 35,20-20,Dan Bailey kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-10-04,Colts,Jaguars,5,15:00,,0,CLT 35,13-13,Pat McAfee kicks off 65 yards touchback,,0.000,-0.280,-0.28
2015-10-01,Steelers,Ravens,5,15:00,,0,RAV 35,20-20,Justin Tucker kicks off 65 yards returned by Dri Archer for 31 yards (tackle by Marlon Brown),31,0.000,1.000,1.00
2015-09-13,Seahawks,Rams,5,15:00,,0,SEA 35,31-31,Steven Hauschka kicks onside 14 yards recovered by Bradley Marquez,,0.000,-2.320,-2.32
2015-09-13,Rams,Seahawks,5,12:10,,0,RAM 35,34-31,Greg Zuerlein kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-12-20,49ers,Chargers,5,15:00,,0,SDG 35,35-35,Nick Novak kicks off 59 yards returned by Quinton Patton for 24 yards (tackle by John Phillips),24,0.000,0.940,.94
2014-12-07,Vikings,Jets,5,15:00,,0,MIN 35,24-24,Blair Walsh kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-11-09,Saints,49ers,5,15:00,,0,SFO 35,24-24,Phil Dawson kicks off 65 yards touchback,,0.000,0.280,.28
2014-10-27,Redskins,Cowboys,5,15:00,,0,DAL 35,17-17,Dan Bailey kicks off 65 yards touchback,,0.000,0.280,.28
2014-10-27,Redskins,Cowboys,5,9:48,,0,WAS 35,17-20,Kai Forbath kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-10-26,Vikings,Buccaneers,5,15:00,,0,MIN 35,13-13,Blair Walsh kicks off 73 yards returned by Trindon Holliday for 25 yards (tackle by Shaun Prater). Penalty on Bradley McDougald: Offensive Holding (Offsetting) Penalty on Shaun Prater: Horse Collar Tackle (Offsetting),25,0.000,0.060,.06
2014-10-12,Panthers,Bengals,5,15:00,,0,CAR 35,34-34,Graham Gano kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-10-12,Bengals,Panthers,5,8:40,,0,CIN 35,37-34,Mike Nugent kicks off 67 yards returned by Philly Brown for 24 yards (tackle by Taylor Mays),24,0.000,-0.410,-0.41
2014-10-12,Panthers,Bengals,5,2:24,,0,CAR 35,37-37,Graham Gano kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-10-05,Cowboys,Texans,5,15:00,,0,DAL 35,17-17,Dan Bailey kicks off 65 yards touchback,,0.000,-0.280,-0.28
2014-10-05,Buccaneers,Saints,5,15:00,,0,TAM 35,31-31,Michael Koenen kicks off 65 yards touchback,,0.000,-0.280,-0.28
