Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
ARI,2011,1/1/12,4:15,2:15,,SEA,17,16,Sun,W 23-20,OT,-2.5,covered,40.5,over
KAN,2011,12/24/11,1:03,12:03,,OAK,16,15,Sat,L 13-16,OT,-3,not covered,43,under
ARI,2011,12/18/11,4:15,2:15,,CLE,15,14,Sun,W 20-17,OT,-6.5,not covered,37.5,under
DEN,2011,12/11/11,4:05,2:05,,CHI,14,13,Sun,W 13-10,OT,-3.5,not covered,35.5,under
DAL,2011,12/4/11,4:15,2:15,@,ARI,13,12,Sun,L 13-19,OT,-4.5,not covered,46.5,under
SDG,2011,11/27/11,4:15,1:15,,DEN,12,11,Sun,L 13-16,OT,-5.5,not covered,42,under
DAL,2011,11/20/11,1:03,1:03,@,WAS,11,10,Sun,W 27-24,OT,-7,not covered,43,over
ATL,2011,11/13/11,1:03,1:03,,NOR,10,9,Sun,L 23-26,OT,-1,not covered,50,under
ARI,2011,11/6/11,4:15,2:15,,STL,9,8,Sun,W 19-13,OT,-3,covered,41.5,under
SDG,2011,10/31/11,8:40,7:40,@,KAN,8,7,Mon,L 20-23,OT,-3,not covered,44.5,under
DEN,2011,10/23/11,1:02,1:02,@,MIA,7,6,Sun,W 18-15,OT,-1,covered,41.5,under
DET,2011,9/25/11,1:05,12:05,@,MIN,3,3,Sun,W 26-23,OT,-3,push,45,over
DAL,2011,9/18/11,4:05,1:05,@,SFO,2,2,Sun,W 27-24,OT,-3,push,41.5,over
JAX,2010,12/26/10,1:03,1:03,,WAS,16,15,Sun,L 17-20,OT,-6.5,not covered,45,under
TAM,2010,12/19/10,1:03,1:03,,DET,15,14,Sun,L 20-23,OT,-4,not covered,43,push
BAL,2010,12/13/10,8:40,7:40,@,HOU,14,13,Mon,W 34-28,OT,-3,covered,47,over
IND,2010,12/5/10,4:15,4:15,,DAL,13,12,Sun,L 35-38,OT,-5.5,not covered,48,over
PIT,2010,11/28/10,1:02,1:02,@,BUF,12,11,Sun,W 19-16,OT,-7,not covered,44,under
TEN,2010,11/21/10,1:03,12:03,,WAS,11,10,Sun,L 16-19,OT,-7,not covered,44.5,under
NYJ,2010,11/14/10,1:02,1:02,@,CLE,10,9,Sun,W 26-20,OT,-3.5,covered,37,over
SFO,2010,11/14/10,4:15,1:15,,STL,10,9,Sun,W 23-20,OT,-4.5,not covered,39,over
MIN,2010,11/7/10,1:05,12:05,,ARI,9,8,Sun,W 27-24,OT,-7.5,not covered,42.5,over
NYJ,2010,11/7/10,1:03,1:03,@,DET,9,8,Sun,W 23-20,OT,-5.5,not covered,42,over
OAK,2010,11/7/10,4:15,1:15,,KAN,9,9,Sun,W 23-20,OT,0,covered,41,over
KAN,2010,10/31/10,1:08,12:08,,BUF,8,7,Sun,W 13-10,OT,-7,not covered,46,under
BAL,2010,10/24/10,1:02,1:02,,BUF,7,7,Sun,W 37-34,OT,-12.5,not covered,40,over
GNB,2010,10/17/10,1:02,12:02,,MIA,6,6,Sun,L 20-23,OT,-3,not covered,44,under
NWE,2010,10/17/10,1:02,1:02,,BAL,6,5,Sun,W 23-20,OT,-3,push,44.5,under
GNB,2010,10/10/10,1:02,1:02,@,WAS,5,5,Sun,L 13-16,OT,-3,not covered,45.5,under
NOR,2010,9/26/10,1:03,12:03,,ATL,3,3,Sun,L 24-27,OT,-3,not covered,49.5,over
HOU,2010,9/19/10,4:15,4:15,@,WAS,2,2,Sun,W 30-27,OT,-3,push,42.5,over
ATL,2010,9/12/10,1:02,1:02,@,PIT,1,1,Sun,L 9-15,OT,-1.5,not covered,39.5,under
MIN,2009,12/28/09,8:40,7:40,@,CHI,16,15,Mon,L 30-36,OT,-8.5,not covered,42,over
NOR,2009,12/27/09,1:03,12:03,,TAM,16,15,Sun,L 17-20,OT,-14,not covered,48.5,under
TEN,2009,12/20/09,1:02,12:02,,MIA,15,14,Sun,W 27-24,OT,-4.5,not covered,43,over
NOR,2009,12/6/09,1:03,1:03,@,WAS,13,12,Sun,W 33-30,OT,-8,not covered,47,over
BAL,2009,11/29/09,8:30,8:30,,PIT,12,11,Sun,W 20-17,OT,-8,not covered,34,over
NYG,2009,11/22/09,1:03,1:03,,ATL,11,10,Sun,W 34-31,OT,-7,not covered,46.5,over
PIT,2009,11/22/09,1:00,12:00,@,KAN,11,10,Sun,L 24-27,OT,-11.5,not covered,39.5,over
JAX,2009,10/18/09,1:03,1:03,,STL,6,6,Sun,W 23-20,OT,-9.5,not covered,42.5,over
NYJ,2009,10/18/09,4:15,4:15,,BUF,6,6,Sun,L 13-16,OT,-9.5,not covered,35.5,under
DAL,2009,10/11/09,1:00,12:00,@,KAN,5,5,Sun,W 26-20,OT,-7,not covered,43.5,over
NWE,2009,10/11/09,4:16,2:16,@,DEN,5,5,Sun,L 17-20,OT,-3,not covered,41.5,under
CIN,2009,10/4/09,1:03,1:03,@,CLE,4,4,Sun,W 23-20,OT,-6.5,not covered,37.5,over
PIT,2009,9/10/09,8:41,8:41,,TEN,1,1,Thu,W 13-10,OT,-6.5,not covered,35,under
CHI,2008,12/22/08,8:40,7:40,,GNB,16,15,Mon,W 20-17,OT,-4,not covered,40,under
NYG,2008,12/21/08,8:23,8:23,,CAR,16,15,Sun,W 34-28,OT,-4,covered,38,over
ATL,2008,12/14/08,1:03,1:03,,TAM,15,14,Sun,W 13-10,OT,-4.5,not covered,43.5,under
CHI,2008,12/11/08,8:14,7:14,,NOR,15,14,Thu,W 27-24,OT,-3,push,46,over
PHI,2008,11/16/08,1:03,1:03,@,CIN,11,10,Sun,T 13-13,OT,-9,not covered,41,under
NWE,2008,11/13/08,8:15,8:15,,NYJ,11,10,Thu,L 31-34,OT,-3.5,not covered,42.5,over
TEN,2008,11/2/08,1:02,12:02,,GNB,9,8,Sun,W 19-16,OT,-3.5,not covered,41,under
TAM,2008,11/2/08,1:03,12:03,@,KAN,9,9,Sun,W 30-27,OT,-9.5,not covered,36.5,over
NYJ,2008,10/19/08,4:15,1:15,@,OAK,7,6,Sun,L 13-16,OT,-3,not covered,41,under
DAL,2008,10/12/08,4:15,1:15,@,ARI,6,6,Sun,L 24-30,OT,-5,not covered,53,over
PIT,2008,9/29/08,8:40,8:40,,BAL,4,4,Mon,W 23-20,OT,-6,not covered,34.5,over
JAX,2008,9/28/08,1:02,1:02,,HOU,4,4,Sun,W 30-27,OT,-6.5,not covered,43,over
CHI,2008,9/21/08,1:02,12:02,,TAM,3,3,Sun,L 24-27,OT,-3,not covered,35,over
NYG,2008,9/21/08,1:02,1:02,,CIN,3,3,Sun,W 26-23,OT,-13,not covered,42.5,over
SEA,2008,9/14/08,4:06,1:06,,SFO,2,2,Sun,L 30-33,OT,-6.5,not covered,38,over
MIN,2007,12/30/07,4:16,2:16,@,DEN,17,16,Sun,L 19-22,OT,-3,not covered,40.5,over
NYJ,2007,12/30/07,4:15,4:15,,KAN,17,16,Sun,W 13-10,OT,-4.5,not covered,35,under
ARI,2007,12/23/07,4:05,2:05,,ATL,16,15,Sun,W 30-27,OT,-10.5,not covered,43.5,over
BAL,2007,12/16/07,1:03,1:03,@,MIA,15,14,Sun,L 16-22,OT,-3,not covered,37.5,over
SDG,2007,12/9/07,1:02,12:02,@,TEN,14,13,Sun,W 23-17,OT,-1,covered,40,push
CHI,2007,11/25/07,4:16,3:16,,DEN,12,11,Sun,W 37-34,OT,-1,covered,41.5,over
ARI,2007,11/25/07,4:06,2:06,,SFO,12,11,Sun,L 31-37,OT,-10.5,not covered,38,over
CLE,2007,11/18/07,1:02,1:02,@,BAL,11,10,Sun,W 33-30,OT,-2,covered,44,over
PIT,2007,11/18/07,4:05,4:05,@,NYJ,11,10,Sun,L 16-19,OT,-9.5,not covered,40.5,under
CLE,2007,11/4/07,4:06,4:06,,SEA,9,8,Sun,W 33-30,OT,-1.5,covered,47,over
WAS,2007,11/4/07,1:02,1:02,@,NYJ,9,8,Sun,W 23-20,OT,-3.5,not covered,36,over
DEN,2007,10/29/07,8:40,6:40,,GNB,8,7,Mon,L 13-19,OT,-3,not covered,43.5,under
DEN,2007,9/16/07,4:15,2:15,,OAK,2,2,Sun,W 23-20,OT,-10,not covered,37,over
DET,2007,9/16/07,4:05,4:05,,MIN,2,2,Sun,W 20-17,OT,-3,push,42.5,under
WAS,2007,9/9/07,1:02,1:02,,MIA,1,1,Sun,W 16-13,OT,-3,push,34.5,under
