Rk,Tm,Year,Date,Time,LTime,At Symbol,Opp,Week,G#,Day,Result
1,Browns,2016,1/1/17,1:00,1:00,@,Steelers,17,16,Sun,L 24-27
2,Steelers,2016,1/1/17,1:00,1:00,,Browns,17,16,Sun,W 27-24
3,Bills,2016,12/24/16,1:00,1:00,,Dolphins,16,15,Sat,L 31-34
4,Dolphins,2016,12/24/16,1:00,1:00,@,Bills,16,15,Sat,W 34-31
5,Jets,2016,12/11/16,4:05,1:05,@,49ers,14,13,Sun,W 23-17
6,49ers,2016,12/11/16,4:05,1:05,,Jets,14,13,Sun,L 17-23
7,Broncos,2016,11/27/16,8:30,6:30,,Chiefs,12,11,Sun,L 27-30
8,Chiefs,2016,11/27/16,8:30,6:30,@,Broncos,12,11,Sun,W 30-27
9,Lions,2016,11/6/16,1:00,3:00,@,Vikings,9,9,Sun,W 22-16
10,Vikings,2016,11/6/16,1:00,3:00,,Lions,9,8,Sun,L 16-22
11,Bengals,2016,10/30/16,8:36,1:36,,Redskins,8,8,Sun,T 27-27
12,Cowboys,2016,10/30/16,8:31,7:31,,Eagles,8,7,Sun,W 29-23
13,Eagles,2016,10/30/16,8:31,7:31,@,Cowboys,8,7,Sun,L 23-29
14,Raiders,2016,10/30/16,1:02,1:02,@,Buccaneers,8,8,Sun,W 30-24
15,Buccaneers,2016,10/30/16,1:02,1:02,,Raiders,8,7,Sun,L 24-30
16,Redskins,2016,10/30/16,8:36,1:36,@,Bengals,8,8,Sun,T 27-27
17,Falcons,2016,10/23/16,4:05,4:05,,Chargers,7,7,Sun,L 30-33
18,Cardinals,2016,10/23/16,8:30,5:30,,Seahawks,7,7,Sun,T 6-6
19,Chargers,2016,10/23/16,4:05,4:05,@,Falcons,7,7,Sun,W 33-30
20,Seahawks,2016,10/23/16,8:30,5:30,@,Cardinals,7,6,Sun,T 6-6
21,Colts,2016,10/16/16,8:32,7:32,@,Texans,6,6,Sun,L 23-26
22,Texans,2016,10/16/16,8:32,7:32,,Colts,6,6,Sun,W 26-23
23,Browns,2016,9/25/16,1:02,1:02,@,Dolphins,3,3,Sun,L 24-30
24,Dolphins,2016,9/25/16,1:02,1:02,,Browns,3,3,Sun,W 30-24
25,Chiefs,2016,9/11/16,1:05,12:05,,Chargers,1,1,Sun,W 33-27
26,Chargers,2016,9/11/16,1:05,12:05,@,Chiefs,1,1,Sun,L 27-33
27,Rams,2015,1/3/16,4:25,1:25,@,49ers,17,16,Sun,L 16-19
28,49ers,2015,1/3/16,4:25,1:25,,Rams,17,16,Sun,W 19-16
29,Bengals,2015,12/28/15,8:30,6:30,@,Broncos,16,15,Mon,L 17-20
30,Broncos,2015,12/28/15,8:30,6:30,,Bengals,16,15,Mon,W 20-17
31,Patriots,2015,12/27/15,1:02,1:02,@,Jets,16,15,Sun,L 20-26
32,Jets,2015,12/27/15,1:02,1:02,,Patriots,16,15,Sun,W 26-20
33,Raiders,2015,12/24/15,8:26,5:26,,Chargers,16,15,Thu,W 23-20
34,Chargers,2015,12/24/15,8:26,5:26,@,Raiders,16,15,Thu,L 20-23
35,Bears,2015,12/6/15,1:02,12:02,,49ers,13,12,Sun,L 20-26
36,Giants,2015,12/6/15,1:03,1:03,,Jets,13,12,Sun,L 20-23
37,Jets,2015,12/6/15,1:03,1:03,@,Giants,13,12,Sun,W 23-20
38,49ers,2015,12/6/15,1:02,12:02,@,Bears,13,12,Sun,W 26-20
39,Broncos,2015,11/29/15,8:30,6:30,,Patriots,12,11,Sun,W 30-24
40,Patriots,2015,11/29/15,8:30,6:30,@,Broncos,12,11,Sun,L 24-30
41,Cowboys,2015,11/8/15,8:31,7:31,,Eagles,9,8,Sun,L 27-33
42,Vikings,2015,11/8/15,1:02,12:02,,Rams,9,8,Sun,W 21-18
43,Saints,2015,11/8/15,1:02,12:02,,Titans,9,9,Sun,L 28-34
44,Titans,2015,11/8/15,1:02,12:02,@,Saints,9,8,Sun,W 34-28
45,Eagles,2015,11/8/15,8:31,7:31,@,Cowboys,9,8,Sun,W 33-27
46,Rams,2015,11/8/15,1:02,12:02,@,Vikings,9,8,Sun,L 18-21
47,Panthers,2015,11/2/15,8:30,8:30,,Colts,8,7,Mon,W 29-26
48,Colts,2015,11/2/15,8:30,8:30,@,Panthers,8,8,Mon,L 26-29
49,Falcons,2015,11/1/15,1:02,1:02,,Buccaneers,8,8,Sun,L 20-23
50,Buccaneers,2015,11/1/15,1:02,1:02,@,Falcons,8,7,Sun,W 23-20
51,Bears,2015,10/18/15,1:02,1:02,@,Lions,6,6,Sun,L 34-37
52,Browns,2015,10/18/15,1:02,1:02,,Broncos,6,6,Sun,L 23-26
53,Broncos,2015,10/18/15,1:02,1:02,@,Browns,6,6,Sun,W 26-23
54,Lions,2015,10/18/15,1:02,1:02,,Bears,6,6,Sun,W 37-34
55,Falcons,2015,10/11/15,1:02,1:02,,Redskins,5,5,Sun,W 25-19
56,Bengals,2015,10/11/15,1:03,1:03,,Seahawks,5,5,Sun,W 27-24
57,Browns,2015,10/11/15,1:02,1:02,@,Ravens,5,5,Sun,W 33-30
58,Ravens,2015,10/11/15,1:02,1:02,,Browns,5,5,Sun,L 30-33
59,Seahawks,2015,10/11/15,1:03,1:03,@,Bengals,5,5,Sun,L 24-27
60,Redskins,2015,10/11/15,1:02,1:02,@,Falcons,5,5,Sun,L 19-25
61,Colts,2015,10/4/15,1:02,1:02,,Jaguars,4,4,Sun,W 16-13
62,Cowboys,2015,10/4/15,8:30,7:30,@,Saints,4,4,Sun,L 20-26
63,Jaguars,2015,10/4/15,1:02,1:02,@,Colts,4,4,Sun,L 13-16
64,Saints,2015,10/4/15,8:30,7:30,,Cowboys,4,4,Sun,W 26-20
65,Steelers,2015,10/1/15,8:26,8:26,,Ravens,4,4,Thu,L 20-23
66,Ravens,2015,10/1/15,8:26,8:26,@,Steelers,4,4,Thu,W 23-20
67,Rams,2015,9/13/15,1:00,12:00,,Seahawks,1,1,Sun,W 34-31
68,Seahawks,2015,9/13/15,1:00,12:00,@,Rams,1,1,Sun,L 31-34
69,Chargers,2014,12/20/14,8:26,5:26,@,49ers,16,15,Sat,W 38-35
70,49ers,2014,12/20/14,8:26,5:26,,Chargers,16,15,Sat,L 35-38
71,Vikings,2014,12/7/14,1:02,12:02,,Jets,14,13,Sun,W 30-24
72,Jets,2014,12/7/14,1:02,12:02,@,Vikings,14,13,Sun,L 24-30
73,Saints,2014,11/9/14,1:03,12:03,,49ers,10,9,Sun,L 24-27
74,49ers,2014,11/9/14,1:03,12:03,@,Saints,10,9,Sun,W 27-24
75,Cowboys,2014,10/27/14,8:30,7:30,,Redskins,8,8,Mon,L 17-20
