Rk,Tm,Year,Date,Time,LTime,At.Symbol,Opp,Week,G#,Day,Result,OT
1,Cardinals,2011,1/1/12,4:15,2:15,,Seahawks,17,16,Sun,W 23-20,OT
2,Seahawks,2011,1/1/12,4:15,2:15,@,Cardinals,17,16,Sun,L 20-23,OT
3,Chiefs,2011,12/24/11,1:03,12:03,,Raiders,16,15,Sat,L 13-16,OT
4,Raiders,2011,12/24/11,1:03,12:03,@,Chiefs,16,15,Sat,W 16-13,OT
5,Browns,2011,12/18/11,4:15,2:15,@,Cardinals,15,14,Sun,L 17-20,OT
6,Cardinals,2011,12/18/11,4:15,2:15,,Browns,15,14,Sun,W 20-17,OT
7,Bears,2011,12/11/11,4:05,2:05,@,Broncos,14,13,Sun,L 10-13,OT
8,Broncos,2011,12/11/11,4:05,2:05,,Bears,14,13,Sun,W 13-10,OT
9,Cardinals,2011,12/4/11,4:15,2:15,,Cowboys,13,12,Sun,W 19-13,OT
10,Cowboys,2011,12/4/11,4:15,2:15,@,Cardinals,13,12,Sun,L 13-19,OT
11,Broncos,2011,11/27/11,4:15,1:15,@,Chargers,12,11,Sun,W 16-13,OT
12,Chargers,2011,11/27/11,4:15,1:15,,Broncos,12,11,Sun,L 13-16,OT
13,Cowboys,2011,11/20/11,1:03,1:03,@,Redskins,11,10,Sun,W 27-24,OT
14,Redskins,2011,11/20/11,1:03,1:03,,Cowboys,11,10,Sun,L 24-27,OT
15,Falcons,2011,11/13/11,1:03,1:03,,Saints,10,9,Sun,L 23-26,OT
16,Saints,2011,11/13/11,1:03,1:03,@,Falcons,10,10,Sun,W 26-23,OT
17,Cardinals,2011,11/6/11,4:15,2:15,,Rams,9,8,Sun,W 19-13,OT
18,Rams,2011,11/6/11,4:15,2:15,@,Cardinals,9,8,Sun,L 13-19,OT
19,Chiefs,2011,10/31/11,8:40,7:40,,Chargers,8,7,Mon,W 23-20,OT
20,Chargers,2011,10/31/11,8:40,7:40,@,Chiefs,8,7,Mon,L 20-23,OT
21,Broncos,2011,10/23/11,1:02,1:02,@,Dolphins,7,6,Sun,W 18-15,OT
22,Dolphins,2011,10/23/11,1:02,1:02,,Broncos,7,6,Sun,L 15-18,OT
23,Lions,2011,9/25/11,1:05,12:05,@,Vikings,3,3,Sun,W 26-23,OT
24,Vikings,2011,9/25/11,1:05,12:05,,Lions,3,3,Sun,L 23-26,OT
25,Cowboys,2011,9/18/11,4:05,1:05,@,49ers,2,2,Sun,W 27-24,OT
26,49ers,2011,9/18/11,4:05,1:05,,Cowboys,2,2,Sun,L 24-27,OT
27,Jaguars,2010,12/26/10,1:03,1:03,,Redskins,16,15,Sun,L 17-20,OT
28,Redskins,2010,12/26/10,1:03,1:03,@,Jaguars,16,15,Sun,W 20-17,OT
29,Lions,2010,12/19/10,1:03,1:03,@,Buccaneers,15,14,Sun,W 23-20,OT
30,Buccaneers,2010,12/19/10,1:03,1:03,,Lions,15,14,Sun,L 20-23,OT
31,Texans,2010,12/13/10,8:40,7:40,,Ravens,14,13,Mon,L 28-34,OT
32,Ravens,2010,12/13/10,8:40,7:40,@,Texans,14,13,Mon,W 34-28,OT
33,Colts,2010,12/5/10,4:15,4:15,,Cowboys,13,12,Sun,L 35-38,OT
34,Cowboys,2010,12/5/10,4:15,4:15,@,Colts,13,12,Sun,W 38-35,OT
35,Bills,2010,11/28/10,1:02,1:02,,Steelers,12,11,Sun,L 16-19,OT
36,Steelers,2010,11/28/10,1:02,1:02,@,Bills,12,11,Sun,W 19-16,OT
37,Titans,2010,11/21/10,1:03,12:03,,Redskins,11,10,Sun,L 16-19,OT
38,Redskins,2010,11/21/10,1:03,12:03,@,Titans,11,10,Sun,W 19-16,OT
39,Browns,2010,11/14/10,1:02,1:02,,Jets,10,9,Sun,L 20-26,OT
40,Jets,2010,11/14/10,1:02,1:02,@,Browns,10,9,Sun,W 26-20,OT
41,Rams,2010,11/14/10,4:15,1:15,@,49ers,10,9,Sun,L 20-23,OT
42,49ers,2010,11/14/10,4:15,1:15,,Rams,10,9,Sun,W 23-20,OT
43,Cardinals,2010,11/7/10,1:05,12:05,@,Vikings,9,8,Sun,L 24-27,OT
44,Lions,2010,11/7/10,1:03,1:03,,Jets,9,8,Sun,L 20-23,OT
45,Chiefs,2010,11/7/10,4:15,1:15,@,Raiders,9,8,Sun,L 20-23,OT
46,Vikings,2010,11/7/10,1:05,12:05,,Cardinals,9,8,Sun,W 27-24,OT
47,Jets,2010,11/7/10,1:03,1:03,@,Lions,9,8,Sun,W 23-20,OT
48,Raiders,2010,11/7/10,4:15,1:15,,Chiefs,9,9,Sun,W 23-20,OT
49,Bills,2010,10/31/10,1:08,12:08,@,Chiefs,8,7,Sun,L 10-13,OT
50,Chiefs,2010,10/31/10,1:08,12:08,,Bills,8,7,Sun,W 13-10,OT
51,Bills,2010,10/24/10,1:02,1:02,@,Ravens,7,6,Sun,L 34-37,OT
52,Ravens,2010,10/24/10,1:02,1:02,,Bills,7,7,Sun,W 37-34,OT
53,Packers,2010,10/17/10,1:02,12:02,,Dolphins,6,6,Sun,L 20-23,OT
