Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-12-10,Colts,Bills,5,10:00,,0,CLT 35,7-7,Rigoberto Sanchez kicks off 51 yards returned by Brandon Tate for 10 yards,,0.000,-0.540,-0.54
2017-12-10,Bills,Colts,5,9:53,1,10,BUF 24,7-7,LeSean McCoy right guard for -1 yards (tackle by Matthias Farley),-1,0.540,-0.140,-0.68
2017-12-10,Bills,Colts,5,9:18,2,11,BUF 23,7-7,LeSean McCoy left guard for 1 yard (tackle by Johnathan Hankins),1,-0.140,-0.690,-0.55
2017-12-10,Bills,Colts,5,8:39,3,10,BUF 24,7-7,Joe Webb left guard for 12 yards (tackle by T.J. Green),12,-0.690,1.330,2.02
2017-12-10,Bills,Colts,5,8:02,1,10,BUF 36,7-7,LeSean McCoy right tackle for 1 yard (tackle by Jabaal Sheard),1,1.330,0.930,-0.40
2017-12-10,Bills,Colts,5,7:23,2,9,BUF 37,7-7,Joe Webb middle for 4 yards (tackle by Jonathan Bostic),4,0.930,0.760,-0.17
2017-12-10,Bills,Colts,5,6:50,3,5,BUF 41,7-7,Joe Webb right end for 9 yards (tackle by T.J. Green),9,0.760,2.260,1.50
2017-12-10,Bills,Colts,5,6:31,1,10,50,7-7,LeSean McCoy right guard for -2 yards (tackle by Margus Hunt),-2,2.260,1.440,-0.82
2017-12-10,Bills,Colts,5,5:49,2,12,BUF 48,7-7,LeSean McCoy right guard for 8 yards (tackle by Antonio Morrison),8,1.440,1.820,.38
2017-12-10,Bills,Colts,5,5:03,3,4,CLT 44,7-7,Travaris Cadet middle for 3 yards (tackle by Johnathan Hankins),3,1.820,0.000,-1.82
2017-12-10,Packers,Browns,5,10:00,,0,GNB 35,21-21,Mason Crosby kicks off 65 yards touchback,,0.000,-0.610,-0.61
2017-12-10,Browns,Packers,5,10:00,1,10,CLE 25,21-21,Isaiah Crowell left guard for 1 yard (tackle by Mike Daniels and Ahmad Brooks),1,0.610,0.200,-0.41
2017-12-10,Bills,Colts,5,4:13,4,1,CLT 41,7-7,Colton Schmidt punts 31 yards out of bounds,,0.530,0.380,-0.15
2017-12-10,Browns,Packers,5,9:30,2,9,CLE 26,21-21,DeShone Kizer pass complete short right to Isaiah Crowell for 7 yards (tackle by Blake Martinez),7,0.200,0.430,.23
